2 2 -1.97856 108.603
2 7 20.2251 123.632
2 12 33.9521 119.422
2 17 40.4198 97.3247
2 22 42.0278 65.9974
2 27 46.962 30.2289
2 32 54.8328 -2.73965
2 37 57.7515 -26.6905
2 42 56.0179 -40.3503
2 47 51.0351 -47.0076
2 52 49.0972 -50.9807
2 57 44.0939 -49.9295
2 62 37.0952 -45.1739
2 67 34.3249 -41.775
2 72 29.3432 -36.7141
2 77 25.3717 -31.5437
2 82 22.4585 -27.0195
2 87 19.3213 -22.0818
2 92 16.2037 -19.2093
2 97 14.1771 -15.8889
2 102 12.0784 -13.1936
2 107 9.8376 -10.4326
2 112 7.68347 -7.77055
2 117 4.29116 -10.0636
2 122 -6.31138 0.756556

7 2 4.01179 134.84
7 7 32.6169 141.167
7 12 52.8447 136.134
7 17 69.7757 109.216
7 22 79.0695 70.1856
7 27 78.823 30.8918
7 32 74.0329 -2.7896
7 37 68.4014 -28.2101
7 42 60.8781 -44.1009
7 47 53.7645 -51.884
7 52 48.4629 -54.2085
7 57 45.4895 -54.3087
7 62 41.4835 -51.518
7 67 35.5255 -45.8523
7 72 31.5514 -41.109
7 77 27.1447 -35.7554
7 82 23.1382 -30.27
7 87 20.1602 -26.052
7 92 16.7853 -21.6644
7 97 14.5152 -18.2314
7 102 12.0379 -14.8939
7 107 10.0804 -12.128
7 112 7.97146 -10.2034
7 117 3.93261 -14.0252
7 122 -0.444736 -18.8116

12 2 6.71222 164.114
12 7 45.9264 172.432
12 12 78.8564 159.433
12 17 104.223 122.545
12 22 114.232 72.9003
12 27 110.641 24.4606
12 32 99.1688 -13.2466
12 37 85.4219 -38.3394
12 42 72.2734 -52.7287
12 47 61.8633 -60.1663
12 52 53.093 -61.856
12 57 44.4839 -58.8849
12 62 38.6946 -54.9789
12 67 34.9677 -50.6451
12 72 31.15 -45.0982
12 77 27.5698 -39.5911
12 82 23.8365 -34.765
12 87 20.5398 -29.2332
12 92 17.6426 -24.5822
12 97 15.0499 -20.6284
12 102 12.5666 -17.0134
12 107 10.5961 -14.0536
12 112 7.51005 -14.2371
12 117 4.43428 -17.2221
12 122 1.36934 -21.7036

17 2 10.2924 206.557
17 7 60.8647 216.337
17 12 109.201 195.233
17 17 147.619 145.422
17 22 160.106 75.6326
17 27 148.57 12.1287
17 32 125.43 -30.9957
17 37 102.976 -55.8314
17 42 83.9298 -67.6309
17 47 67.9333 -70.7311
17 52 56.4008 -69.8761
17 57 48.5045 -66.7651
17 62 41.887 -61.5512
17 67 35.8502 -55.45
17 72 30.2426 -48.9347
17 77 26.0698 -42.6304
17 82 23.3364 -37.2334
17 87 20.1896 -31.9996
17 92 17.9755 -27.474
17 97 15.3096 -23.0267
17 102 13.0892 -19.2609
