2 2 -0.547986 -218.062
2 7 -3.2152 -204.987
2 12 -5.54055 -174.357
2 17 -7.16931 -130.243
2 22 -7.81492 -79.438
2 27 -7.48195 -29.945
2 32 -6.4931 11.7481
2 37 -5.26635 42.4641
2 42 -4.10248 62.1231
2 47 -3.13672 72.4317
2 52 -2.3911 75.6688
2 57 -1.83609 73.9931
2 62 -1.42856 69.1769
2 67 -1.12865 62.5666
2 72 -0.90489 55.1339
2 77 -0.734347 47.5504
2 82 -0.601059 40.2577
2 87 -0.494263 33.5268
2 92 -0.406852 27.5047
2 97 -0.334175 22.2503
2 102 -0.273181 17.7626
2 107 -0.221812 14.0008
2 112 -0.178614 10.9007
2 117 -0.142478 8.38597
2 122 -0.112493 6.376
2 127 -0.0878604 4.79209
2 132 -0.0678541 3.56082
2 137 -0.0518021 2.61624
2 142 -0.0390857 1.9009
2 147 -0.0291417 1.36597
2 152 -0.0214667 0.970891
2 157 -0.0156197 0.682664
2 162 -0.0112219 0.474919
2 167 -0.00795471 0.326955
2 172 -0.00555524 0.222785
2 177 -0.00381036 0.150248
2 182 -0.00254978 0.100214
2 187 -0.00163866 0.0659093
2 192 -0.000969779 0.0423322
2 197 -0.00045506 0.0257711
2 202 -1.51246e-05 0.0133802
2 207 0.000436542 0.00277213
2 212 0.00102402 -0.008471
2 217 0.0019811 -0.0236027
2 222 0.00385496 -0.0484939
2 227 0.00819238 -0.0966251
2 232 0.020422 -0.206524
2 237 0.0665441 -0.522552
2 242 0.361013 -1.88757
2 247 7.84472 -16.2909

7 2 -2.99413 -227.128
7 7 -17.6045 -213.45
7 12 -30.4228 -181.1
7 17 -39.3104 -133.973
7 22 -42.3672 -79.5184
7 27 -39.595 -27.0655
7 32 -33.1274 16.0651
7 37 -25.5892 46.8686
7 42 -18.7175 65.8911
7 47 -13.1992 75.3578
7 52 -9.07773 77.8157
7 57 -6.13262 75.5151
7 62 -4.08782 70.2329
7 67 -2.69676 63.2894
7 72 -1.76524 55.6249
7 77 -1.14958 47.8828
7 82 -0.747291 40.4831
7 87 -0.486974 33.6807
7 92 -0.319822 27.6109
7 97 -0.212995 22.325
7 102 -0.144733 17.8161
7 107 -0.100842 14.0401
7 112 -0.072212 10.9303
7 117 -0.0530903 8.40864
7 122 -0.0399074 6.39366
7 127 -0.0304825 4.80597
7 132 -0.0234996 3.57177
7 137 -0.0181691 2.62489
7 142 -0.0140129 1.90769
7 147 -0.0107333 1.37127
7 152 -0.00813435 0.974995
7 157 -0.00607643 0.68581
7 162 -0.004452 0.477309
7 167 -0.00317213 0.328757
7 172 -0.00215963 0.224141
7 177 -0.00134483 0.151275
7 182 -0.000662005 0.101013
7 187 -4.47691e-05 0.0665676
7 192 0.000581587 0.0429365
7 197 0.00131396 0.0264198
7 202 0.00229853 0.0142107
7 207 0.0037873 0.00401693
7 212 0.00626585 -0.0063535
7 217 0.0107676 -0.0195843
7 222 0.0197292 -0.0399543
7 227 0.0396179 -0.0757947
7 232 0.0902452 -0.145276
7 237 0.243326 -0.285978
7 242 0.789997 -0.491003
7 247 2.23056 0.408515

12 2 -5.401 -248.02
12 7 -32.0097 -233.246
12 12 -56.1683 -197.262
12 17 -73.4304 -142.84
12 22 -78.7369 -78.9739
12 27 -71.8222 -19.1634
12 32 -58.1449 26.9665
12 37 -43.5163 57.4004
12 42 -30.979 74.5598
12 47 -21.3297 81.9081
12 52 -14.3278 82.5239
12 57 -9.42653 78.7924
12 62 -6.08039 72.4625
12 67 -3.84141 64.7784
12 72 -2.3707 56.6027
12 77 -1.42277 48.5144
12 82 -0.824448 40.884
12 87 -0.455927 33.9304
12 92 -0.235646 27.7634
12 97 -0.108956 22.4159
12 102 -0.0398504 17.869
12 107 -0.00505048 14.0701
12 112 0.0101609 10.9469
12 117 0.0148374 8.41757
12 122 0.0143589 6.39845
12 127 0.0117768 4.80862
12 132 0.00870953 3.57338
12 137 0.00592551 2.62601
12 142 0.00371461 1.90861
12 147 0.00211689 1.37208
12 152 0.00105842 0.975741
12 157 0.000427407 0.686496
12 162 0.000113814 0.477934
12 167 2.73123e-05 0.329325
12 172 0.000103564 0.224663
12 177 0.000305054 0.151773
12 182 0.000620573 0.101522
12 187 0.00106633 0.0671378
12 192 0.0016916 0.0436458
12 197 0.00259333 0.0273936
12 202 0.00394787 0.0156655
12 207 0.00607806 0.00635321
12 212 0.00959703 -0.00233991
12 217 0.0157289 -0.0121888
12 222 0.0270558 -0.0252106
12 227 0.0493052 -0.0435972
