2 2 0.540522 284.458
2 7 3.13425 270.356
2 12 5.36088 237.049
2 17 6.92392 188.832
2 22 7.47677 132.612
2 27 7.04746 76.5904
2 32 5.98445 27.5416
2 37 4.68455 -11.1319
2 42 3.43581 -39.1465
2 47 2.42064 -57.8671
2 52 1.73236 -69.149
2 57 1.19877 -75.3159
2 62 0.818905 -77.8267
2 67 0.48207 -78.0253
2 72 0.32878 -76.6567
2 77 0.190631 -74.4207
2 82 0.102853 -71.7624
2 87 0.0423922 -68.9812
2 92 0.00172088 -66.288
2 97 -0.0248873 -63.8166
2 102 -0.0425982 -61.6447
2 107 -0.0600304 -59.7921
2 112 -0.103281 -58.1502
2 117 -0.388009 -55.8987
2 122 -7.85653 -41.0596

7 2 2.92472 293.327
7 7 17.1581 278.585
7 12 29.5828 243.543
7 17 38.1148 192.338
7 22 40.8115 132.467
7 27 37.7151 73.5184
7 32 30.9612 23.051
7 37 23.169 -15.7064
7 42 16.0992 -43.027
7 47 10.5452 -60.7037
7 52 6.34665 -71.3123
7 57 3.39823 -76.8154
7 62 1.36903 -78.8695
7 67 0.0328094 -78.6901
7 72 -0.774876 -77.0642
7 77 -1.24465 -74.6517
7 82 -1.46954 -71.8684
7 87 -1.53019 -69.0052
7 92 -1.47925 -66.2575
7 97 -1.35629 -63.7513
7 102 -1.19324 -61.5643
7 107 -1.02513 -59.7327
7 112 -0.936165 -58.2525
7 117 -1.22477 -57.1508
7 122 -2.39592 -57.6077

12 2 5.26846 313.707
12 7 31.1925 297.838
12 12 54.6832 259.207
12 17 71.2959 200.704
12 22 75.9852 131.457
12 27 68.5158 65.2027
12 32 54.3541 11.7936
12 37 39.3082 -26.5409
12 42 26.5411 -51.8031
12 47 16.6902 -67.3775
12 52 9.57848 -76.0641
12 57 4.64855 -80.0842
12 62 1.32912 -81.0484
12 67 -0.781699 -80.0463
12 72 -2.05116 -77.863
12 77 -2.74271 -75.0586
12 82 -3.03344 -72.0089
12 87 -3.05112 -68.9659
12 92 -2.88665 -66.0981
12 97 -2.60334 -63.5171
12 102 -2.24859 -61.2922
12 107 -1.86355 -59.4694
12 112 -1.4929 -58.091
12 117 -1.16712 -57.2512
12 122 -0.694177 -57.1136

17 2 7.71949 346.164
17 7 46.4962 329.664
17 12 84.4817 286.934
17 17 114.04 215.944
17 22 121.114 127.619
17 27 103.996 47.8876
17 32 77.6095 -8.7052
17 37 53.3146 -44.3871
17 42 34.3645 -65.6131
17 47 20.6477 -77.3594
17 52 11.1019 -82.9969
17 57 4.63398 -84.7708
17 62 0.417829 -84.069
17 67 -2.21902 -81.9027
17 72 -3.75047 -78.9088
17 77 -4.52642 -75.5473
17 82 -4.78439 -72.1163
17 87 -4.69288 -68.817
17 92 -4.36731 -65.7799
17 97 -3.88998 -63.0907
17 102 -3.31738 -60.803
17 107 -2.68921 -58.9542
17 112 -2.03035 -57.5751
17 117 -1.33729 -56.6988
17 122 -0.556124 -56.327

22 2 9.87401 390.521
22 7 61.0846 376.123
22 12 118.788 334.036
22 17 176.229 246.006
22 22 188.489 114.397
22 27 144.975 12.0983
22 32 97.7375 -42.3503
22 37 62.4572 -70.0746
22 42 37.9995 -83.8959
22 47 21.402 -89.9614
22 52 10.2703 -91.5134
22 57 2.98322 -90.3397
22 62 -1.65309 -87.5859
22 67 -4.45734 -83.9907
22 72 -6.0001 -80.0151
22 77 -6.68397 -75.9819
22 82 -6.78633 -72.0978
22 87 -6.49835 -68.4947
22 92 -5.95328 -65.2584
22 97 -5.24105 -62.4409
22 102 -4.42285 -60.074
22 107 -3.53863 -58.1771
22 112 -2.6106 -56.7635
22 117 -1.64424 -55.8389
22 122 -0.634299 -55.3941

27 2 10.8012 443.216
27 7 68.5476 436.075
27 12 145.258 412.28
27 17 271.703 332.609
27 22 313.053 51.0993
27 27 178.925 -61.3901
27 32 105.784 -91.343
27 37 62.739 -102.111
27 42 35.6164 -105.03
27 47 18.0437 -103.951
27 52 6.67256 -100.63
27 57 -0.579261 -96.1526
27 62 -5.03828 -91.1345
27 67 -7.5959 -85.9866
27 72 -8.86023 -80.9548
27 77 -9.25306 -76.2072
27 82 -9.06151 -71.8436
27 87 -8.48343 -67.9241
27 92 -7.65362 -64.4821
27 97 -6.66339 -61.5334
27 102 -5.57276 -59.0844
27 107 -4.42006 -57.136
27 112 -3.22731 -55.6856
27 117 -2.00532 -54.7278
27 122 -0.759936 -54.2532

32 2 9.90934 496.135
32 7 63.0072 499.194
32 12 134.333 510.619
32 17 255.609 566.753
32 22 282.406 -246.854
32 27 158.415 -165.078
32 32 90.9293 -145.936
32 37 51.1994 -135.158
32 42 26.2509 -126.078
32 47 10.3088 -117.473
32 52 0.170369 -109.238
32 57 -6.09267 -101.459
32 62 -9.74254 -94.2039
32 67 -11.6264 -87.5393
32 72 -12.3197 -81.4861
32 77 -12.2203 -76.0546
32 82 -11.5974 -71.2396
32 87 -10.6354 -67.0272
32 92 -9.45839 -63.3987
32 97 -8.14905 -60.3342
32 102 -6.76099 -57.8153
32 107 -5.32759 -55.8245
32 112 -3.86763 -54.3469
32 117 -2.39039 -53.3688
32 122 -0.900446 -52.8791

37 2 6.93969 538.958
37 7 43.0925 548.41
37 12 84.2466 575.886
37 17 123.365 634.756
37 22 127.542 -296.678
37 27 94.2189 -227.883
37 32 57.1084 -187.845
37 37 29.5152 -162.384
37 42 10.8185 -143.691
37 47 -1.33977 -128.725
37 52 -8.91824 -116.201
37 57 -13.3393 -105.518
37 62 -15.6111 -96.2983
37 67 -16.4345 -88.3106
37 72 -16.2929 -81.3767
37 77 -15.521 -75.3666
37 82 -14.3451 -70.1788
37 87 -12.9181 -65.7321
37 92 -11.3411 -61.9614
37 97 -9.67956 -58.8146
37 102 -7.97467 -56.2503
37 107 -6.25054 -54.236
37 112 -4.51843 -52.7453
37 117 -2.78311 -51.7586
37 122 -1.0453 -51.2621

42 2 3.41865 564.921
42 7 20.7279 575.995
42 12 37.834 603.85
42 17 49.6545 648.923
42 22 48.9646 -307.028
42 27 36.0652 -254.334
42 32 18.2128 -212.322
42 37 2.66036 -180.418
42 42 -8.55536 -155.815
42 47 -15.7771 -136.35
42 52 -19.9282 -120.618
42 57 -21.8872 -107.72
42 62 -22.347 -96.9996
42 67 -21.811 -88.0145
42 72 -20.6307 -80.4331
42 77 -19.0496 -74.0123
42 82 -17.2293 -68.5737
42 87 -15.2768 -63.9817
42 92 -13.2612 -60.1339
42 97 -11.2244 -56.9525
42 102 -9.19023 -54.3779
42 107 -7.16932 -52.3648
42 112 -5.16436 -50.8792
42 117 -3.17304 -49.8967
42 122 -1.18978 -49.4015

47 2 0.0948653 573.57
47 7 0.64241 584.751
47 12 1.06582 611.127
47 17 -0.069355 650.213
47 22 -4.2618 -312.909
47 27 -11.2247 -266.127
47 32 -19.0988 -224.344
47 37 -25.5571 -189.682
47 42 -29.7178 -161.844
47 47 -31.7063 -139.666
47 52 -32.0223 -121.932
47 57 -31.1706 -107.652
47 62 -29.559 -96.0181
47 67 -27.4804 -86.4528
47 72 -25.1366 -78.5203
47 77 -22.6633 -71.9016
47 82 -20.1455 -66.3655
47 87 -17.6358 -61.7392
47 92 -15.1642 -57.895
47 97 -12.7439 -54.7369
47 102 -10.3784 -52.1936
47 107 -8.0636 -50.2117
47 112 -5.79182 -48.7525
47 117 -3.55159 -47.7883
47 122 -1.33009 -47.3013

52 2 -2.97945 566.296
52 7 -17.5366 577.944
52 12 -30.63 604.992
52 17 -41.1346 644.364
52 22 -48.6118 -318.723
52 27 -53.0608 -271.336
52 32 -54.443 -228.007
52 37 -53.549 -191.438
52 42 -51.1813 -161.899
52 47 -47.9716 -138.462
52 52 -44.3467 -119.896
52 57 -40.5703 -105.112
52 62 -36.8002 -93.2085
52 67 -33.1225 -83.5263
52 72 -29.5821 -75.5747
52 77 -26.1995 -68.9961
52 82 -22.9783 -63.5329
52 87 -19.9127 -58.9949
52 92 -16.9901 -55.2417
52 97 -14.1947 -52.1701
52 102 -11.5083 -49.7034
52 107 -8.91229 -47.7855
52 112 -6.38617 -46.3751
52 117 -3.90979 -45.4433
52 122 -1.46285 -44.972

57 2 -6.04294 543.827
57 7 -35.6621 556.726
57 12 -62.2384 587.219
57 17 -82.0774 632.393
57 22 -92.7514 -325.173
57 27 -94.502 -271.681
57 32 -89.2142 -224.504
57 37 -80.8373 -186.159
57 42 -71.9134 -156.101
57 47 -63.5505 -132.744
57 52 -56.0683 -114.498
57 57 -49.4598 -100.097
57 62 -43.6161 -88.5758
57 67 -38.4121 -79.2466
57 72 -33.7352 -71.6118
57 77 -29.4934 -65.3132
57 82 -25.6098 -60.0937
57 87 -22.022 -55.7657
57 92 -18.6778 -52.1911
57 97 -15.5332 -49.2692
57 102 -12.5499 -46.9247
57 107 -9.69351 -45.1026
57 112 -6.93294 -43.7627
57 117 -4.23916 -42.8774
57 122 -1.58487 -42.4288

62 2 -9.27401 505.64
62 7 -55.2237 520.11
62 12 -98.0982 556.178
62 17 -130.481 613.45
62 22 -144.377 -331.35
62 27 -139.999 -265.145
62 32 -124.413 -212.368
62 37 -106.737 -173.262
62 42 -90.7946 -144.393
62 47 -77.4132 -122.667
62 52 -66.3792 -105.935
62 57 -57.2429 -92.7901
62 62 -49.5791 -82.2715
62 67 -43.0453 -73.733
62 72 -37.3813 -66.7248
62 77 -32.3918 -60.924
62 82 -27.9306 -56.1036
62 87 -23.8859 -52.0965
62 92 -20.1721 -48.7808
62 97 -16.7203 -46.0658
62 102 -13.4745 -43.8844
62 107 -10.3878 -42.1871
62 112 -7.41909 -40.9377
62 117 -4.53221 -40.1114
62 122 -1.6935 -39.692

67 2 -12.4857 451.093
67 7 -75.783 465.505
67 12 -141.034 505.565
67 17 -197.615 582.857
67 22 -215.704 -333.399
67 27 -193.048 -244.217
67 32 -158.731 -187.646
67 37 -129.214 -151.658
67 42 -106.194 -126.888
