2 2 -0.501548 -286.919
2 7 -2.9391 -272.459
2 12 -5.04411 -238.85
2 17 -6.4685 -190.288
2 22 -6.93162 -133.744
2 27 -6.44289 -77.44
2 32 -5.32845 -28.1109
2 37 -4.0081 10.806
2 42 -2.78299 38.969
2 47 -1.78741 57.8345
2 52 -1.04132 69.4539
2 57 -0.512255 75.7909
2 62 -0.15354 78.4615
2 67 0.0786355 78.698
2 72 0.219808 77.4006
2 77 0.296906 75.2097
2 82 0.329613 72.573
2 87 0.332046 69.7982
2 92 0.314281 67.0933
2 97 0.283707 64.5945
2 102 0.246578 62.3822
2 107 0.211528 60.4795
2 112 0.206724 58.7808
2 117 0.448086 56.4676
2 122 7.87752 41.5641

7 2 -2.88684 -295.6
7 7 -16.9653 -280.546
7 12 -29.2686 -245.233
7 17 -37.6708 -193.686
7 22 -40.2846 -133.529
7 27 -37.1229 -74.3087
7 32 -30.3278 -23.59
7 37 -22.5292 15.364
7 42 -15.466 42.84
7 47 -9.82515 60.8141
7 52 -5.6479 71.6077
7 57 -2.71003 77.2769
7 62 -0.730471 79.4432
7 67 0.543355 79.3134
7 72 1.31228 77.7562
7 77 1.72687 75.3844
7 82 1.89653 72.6233
7 87 1.89941 69.7646
7 92 1.79104 67.0047
7 97 1.61167 64.4727
7 102 1.39376 62.2483
7 107 1.17477 60.3703
7 112 1.03834 58.8375
7 117 1.28362 57.6787
7 122 2.41647 58.0756

12 2 -5.23397 -315.806
12 7 -31.014 -299.669
12 12 -54.3681 -260.751
12 17 -70.8686 -201.953
12 22 -75.4763 -132.445
12 27 -67.9444 -65.9409
12 32 -53.7452 -12.3053
12 37 -38.6971 26.1927
12 42 -25.8461 51.7176
12 47 -15.9892 67.4867
12 52 -8.88326 76.3547
12 57 -3.9768 80.5147
12 62 -0.717543 81.5617
12 67 1.35089 80.6273
12 72 2.5768 78.5033
12 77 3.21569 75.738
12 82 3.45085 72.7077
12 87 3.4121 69.6675
12 92 3.19088 66.7884
12 97 2.85215 64.183
12 102 2.4443 61.9237
12 107 2.00918 60.0582
12 112 1.59232 58.6311
12 117 1.22454 57.7389
12 122 0.714246 57.5461

17 2 -7.6889 -348.104
17 7 -46.3259 -331.366
17 12 -84.1772 -288.358
17 17 -113.63 -217.103
17 22 -120.625 -128.537
17 27 -103.45 -48.578
17 32 -77.0375 8.20479
17 37 -52.6629 44.1266
17 42 -33.6877 65.5412
17 47 -19.9581 77.4741
17 52 -10.4194 83.2779
17 57 -3.99803 85.1485
17 62 0.180062 84.5427
17 67 2.77339 82.4391
17 72 4.26127 79.4996
17 77 4.98624 76.1724
17 82 5.19027 72.7594
17 87 5.04295 69.4625
17 92 4.66249 66.4147
17 97 4.13121 63.703
17 102 3.50682 61.3837
17 107 2.83016 59.4955
17 112 2.12667 58.0718
17 117 1.39292 57.1472
17 122 0.5756 56.7251

22 2 -9.84596 -392.32
22 7 -60.9084 -377.674
22 12 -118.491 -335.341
22 17 -175.837 -247.079
22 22 -188.023 -115.251
22 27 -144.457 -12.7465
22 32 -97.1388 41.938
22 37 -61.823 69.8442
22 42 -37.3389 83.8441
22 47 -20.7281 90.0825
22 52 -9.63159 91.7508
