1 1 0
1 2 119.087
1 3 225.749
1 4 324.212
1 5 440.27
1 6 566.983
1 7 682.332
1 8 793.879
1 9 919.292
1 10 1048.56
1 11 1164.02
1 12 1273.72
1 13 1393.54
1 14 1516.24
1 15 1624.4
1 16 1720.3
1 17 1820.05
1 18 1925.31
1 19 2020.38
1 20 2096.74
1 21 2164.82
1 22 2237.1
1 23 2309.82
1 24 2368.9
1 25 2409.22
1 26 2440.49
1 27 2473.92
1 28 2508.63
1 29 2534.13
1 30 2543.55
1 31 2541.15
1 32 2536.59
1 33 2534.36
1 34 2530.34
1 35 2517.71
1 36 2494.56
1 37 2465.4
1 38 2436.02
1 39 2408
1 40 2378.06
1 41 2342.15
1 42 2299.64
1 43 2253.87
1 44 2209.04
1 45 2166.76
1 46 2125.15
1 47 2080.92
1 48 2032.28
1 49 1980.33
1 50 1927.99
1 51 1877.8
1 52 1830.2
1 53 1783.67
1 54 1736.11
1 55 1686.48
1 56 1635.41
1 57 1584.63
1 58 1535.74
1 59 1489.23
1 60 1444.36
1 61 1399.84
1 62 1354.72
1 63 1308.96
1 64 1263.37
1 65 1219.09
1 66 1176.89
1 67 1136.83
1 68 1098.31
1 69 1060.47
1 70 1022.66
1 71 984.77
1 72 947.179
1 73 910.545
1 74 875.443
1 75 842.117
1 76 810.415
1 77 779.916
1 78 750.147
1 79 720.794
1 80 691.802
1 81 663.357
1 82 635.809
1 83 609.657
1 84 585.288
1 85 561.526
1 86 536.643
1 87 514.442
1 88 494.546
1 89 471.073
1 90 452.522
1 91 431.055
1 92 412.898
1 93 393.635
1 94 377.057
1 95 359.138
1 96 344.76
1 97 327.45
1 98 314.682
1 99 298.524
1 100 285.642
1 101 272.277
1 102 258.344
1 103 247.536
1 104 234.77
1 105 223.739
1 106 214.086
1 107 203.034
1 108 193.815
1 109 185.205
1 110 175.671
1 111 167.506
1 112 160.014
1 113 152.007
1 114 144.905
1 115 138.575
1 116 131.47
1 117 123.276
1 118 114.031
1 119 104.434
1 120 96.7202
1 121 92.1749
1 122 93.0903
1 123 114.834
1 124 224.91
1 125 795.775

2 1 0
2 2 110.513
2 3 217.207
2 4 330.924
2 5 451.688
2 6 572.341
2 7 694.245
2 8 819.606
2 9 944.832
2 10 1068
2 11 1190.69
2 12 1312.11
2 13 1429.54
2 14 1543
2 15 1653.72
2 16 1760.36
2 17 1860.66
2 18 1955
2 19 2044.97
2 20 2129.84
2 21 2207.16
2 22 2276.32
2 23 2339.15
2 24 2396.75
2 25 2447.58
2 26 2489.57
2 27 2522.98
2 28 2550.03
2 29 2572.06
2 30 2588.01
2 31 2596.08
2 32 2596.27
2 33 2590.61
2 34 2581.15
2 35 2568.08
2 36 2549.99
2 37 2525.9
2 38 2496.61
2 39 2464.17
2 40 2430.13
2 41 2394.41
2 42 2355.87
2 43 2313.71
2 44 2268.48
2 45 2221.74
2 46 2174.88
2 47 2128.19
2 48 2080.87
2 49 2031.98
2 50 1981.31
